Distance,Omarion
Je Te Pardonne (Pilule Bleue),Maître Gims
Siyanqamuka,Big Nuz
Mamacita (Italian Version),Tinie Tempah Feat. Wizkid & Emis Killa
Dakan Tigui,Sidiki Diabaté
Iskaba,Wande Coal & DJ Tunez
I Testify,Ada
Human,Rag'n'Bone Man
Let Me Love You,DJ Snake Feat. Justin Bieber
Going Back To My Roots,Odyssey
Calee,Daphne
Wake Up,Papa Wemba
Don't Leave Me,Blackstreet
Come Into My Life,Joyce Sims
Same Ol’ Mistakes,Rihanna
DJon Maya Maï,Synapson Feat. Victor Démé
Mon Histoire,Mike Kalambay
Rien Qu'une Larme,Mike Brant
Till I'm Gone,Tinie Tempah Feat. Wiz Khalifa
Cool For The Summer,Demi Lovato
Good For You,Selena Gomez Feat. A$AP Rocky
1 Of 1,Tyga
You Know You Like It,DJ Snake & AlunaGeorge
One Time,Jill Scott
When I See U,Fantasia
Civilisé,Koffi Olomidé
Shumaya,Dbn Nyts Feat. Zinhle Ngidi & Trade Mark
The Clown,Maribou State Feat. Pedestrian
Options,Pitbull Feat. Stephen Marley
B.M.F. (Blowin' Money Fast),Rick Ross Feat. Styles P
Nkembo,Guylain Mizua
Attention,Charlie Puth
Things I Do (For Her),Slakah The Beatchild
That's What I Like (Live),Bruno Mars
The Look,Metronomy
Diggin' On You,TLC
Kickin’ Back,Mila J
Petricor,Ludovico Einaudi Feat. Daniel Hope
Never Know,Kindred The Family Soul
One Dance (Remix),Conor Maynard
Be The One,Dua Lipa
Désolé,Iyenga
B*tches Gone Tell,Young Thug & Migos Feat. Meek Mill
My My My!,Troye Sivan
Maman J'ai Mal,MHD
Botoque,Fatnotronic & In Flagranti
Try Sleeping With A Broken Heart,Alicia Keys
Six Millions Ya Ba Soucis,Papa Wemba
Overnight,Parcels
Feel No Ways,Drake
Endurance,Slakah The Beatchild
She's The One,Robbie Williams
Best I Ever Had,Drake
Walk,Kwabs
Besame Mucho,Cesária Évora
Kontrol,Maleek Berry
Lying Together,FKJ
When Can I See You,Babyface
Molimo,Moise Mbiye
Posa,Fally Ipupa
Tchelete,Davido Feat. Mafikizolo
Tuna Tina Jack Kitshindja,Wenge Musica BCBG
No One Ft: Maxwell (Remix),Killa Sha
Feels,Calvin Harris Feat. Pharrell Williams & Katy Perry & Big Sean
Ay Mama,Singuila
Pause (Kiff No Beat X Dadju),Kiff No Beat Feat. Dadju
It Was A Good Day (Remix),Ice Cube
Caro,Starboy Feat. Wizkid & L.A.X
Sautez Déjà,Félix Wazekwa
Meurtre Par Strangulation,Maître Gims
Coolest Kid In Africa,Davido Feat. Nasty C
Pray For Me,The Weeknd & Kendrick Lamar
Luh You,Anderson .Paak
B.M,Heritier Watanabe
Salé,Niska
Bravo,MHD
Θ. Macarena,Damso
This World,Selah Sue
Black Beatles,Rae Sremmurd Feat. Gucci Mane
Petronella,Dr Malinga Feat. Josta
Tyga One,DJ Triple Exe
Vice Versa,Madilu System
"""Hurry Up, We're Dreaming"" Album Outro",M83
